"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Inbetriebnahmedatum der Einheit";"Inbetriebnahmedatum der Einheit am aktuellen Standort";"Registrierungsdatum der Einheit";"Bundesland";"Postleitzahl";"Ort";"Straße";"Hausnummer";"Gemarkung";"Flurstück";"Gemeindeschlüssel";"Gemeinde";"Landkreis";"Koordinate: Breitengrad (WGS84)";"Koordinate: Längengrad (WGS84)";"Überwiegende Nutzungsart der Fläche vor Errichtung";"Bereich der überwiegenden Nutzungsart der Fläche vor Errichtung";"Größe der in Anspruch genommenen Fläche in Hektar";"Zusätzliche Merkmale der Fläche und der aktuellen Flächennutzung";"Technologie der Stromerzeugung";"Volleinspeisung oder Teileinspeisung";"Art der Solaranlage";"Anzahl der Solar-Module";"Hauptausrichtung der Solar-Module";"Hauptneigungswinkel der Solar-Module";"Nutzungsbereich des Gebäudes mit Solaranlage";"Name des Solarparks";"Lichte Höhe in Meter";"Name des Windparks";"Wind an Land oder auf See";"Nabenhöhe der Windenergieanlage";"Rotordurchmesser der Windenergieanlage";"Hersteller der Windenergieanlage";"Typenbezeichnung";"Hauptbrennstoff der Einheit";"MaStR-Nr. der Speichereinheit";"Speichertechnologie";"Nutzbare Speicherkapazität in kWh";"Letzte Aktualisierung";"Datum der endgültigen Stilllegung";"Datum der geplanten Inbetriebnahme";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"MaStR-Nr. der Genehmigung";"Name des Anschluss-Netzbetreibers";"MaStR-Nr. des Anschluss-Netzbetreibers";"Netzbetreiberprüfung";"Spannungsebene";"MaStR-Nr. der Lokation";"MaStR-Nr. der EEG-Anlage";"EEG-Anlagenschlüssel";"Inbetriebnahmedatum der EEG-Anlage";"Installierte Leistung der EEG-Anlage";"Zuschlagnummer (EEG/KWK-Ausschreibung)";"MaStR-Nr. der KWK-Anlage";"Inbetriebnahmedatum der KWK-Anlage";"Elektrische KWK-Leistung";"Thermische Nutzleistung in kW"
"SEE901973423295";"DE-S-TURNOW-PRE";"In Betrieb";"Solare Strahlungsenergie";"1395";"1250";"9/7/2009";"";"6/6/2019";"Brandenburg";"03185";"Turnow-Preilack";"Solarpark";"901";"";"";"12071304";"Peitz";"Spree-Neiße";"51,8717";"14,389";"";"";"";"";"";"Volleinspeisung";"Freiflächensolaranlage";"18600";"Süd";"21 - 40 Grad";"";"";"";"";"";"";"";"";"";"";"";"";"";"10/1/2025";"";"";"Solar Power Turnow GmbH & Co. KG";"ABR936492462845";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL996720060700";"EEG984615190144";"E41081010000000000000000000142490";"9/7/2009";"1395";"";"";"";"";""
"SEE910828193962";"DE-S-TURNOW-PRE";"In Betrieb";"Solare Strahlungsenergie";"1439,575";"1250";"9/8/2009";"";"6/6/2019";"Brandenburg";"03185";"Turnow-Preilack";"Solarpark";"901";"";"";"12071304";"Peitz";"Spree-Neiße";"51,8717";"14,389";"";"";"";"";"";"Volleinspeisung";"Freiflächensolaranlage";"19170";"Süd";"21 - 40 Grad";"";"";"";"";"";"";"";"";"";"";"";"";"";"10/1/2025";"";"";"Solar Power Turnow GmbH & Co. KG";"ABR936492462845";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL996720060700";"EEG995435199774";"E41081010000000000000000000142527";"9/8/2009";"1439,575";"";"";"";"";""
"SEE938757875636";"DE-S-TURNOW-PRE";"In Betrieb";"Solare Strahlungsenergie";"1440";"1250";"9/29/2009";"";"6/6/2019";"Brandenburg";"03185";"Turnow-Preilack";"Solarpark";"901";"";"";"12071304";"Peitz";"Spree-Neiße";"51,8717";"14,389";"";"";"";"";"";"Volleinspeisung";"Freiflächensolaranlage";"19200";"Süd";"21 - 40 Grad";"";"";"";"";"";"";"";"";"";"";"";"";"";"10/1/2025";"";"";"Solar Power Turnow GmbH & Co. KG";"ABR936492462845";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL996720060700";"EEG954198323635";"E41081010000000000000000000144049";"9/29/2009";"1440";"";"";"";"";""
"SEE916127494311";"DE-S-TURNOW-PRE";"In Betrieb";"Solare Strahlungsenergie";"1440";"1250";"9/30/2009";"";"6/6/2019";"Brandenburg";"03185";"Turnow-Preilack";"Solarpark";"901";"";"";"12071304";"Peitz";"Spree-Neiße";"51,8717";"14,389";"";"";"";"";"";"Volleinspeisung";"Freiflächensolaranlage";"19200";"Süd";"21 - 40 Grad";"";"";"";"";"";"";"";"";"";"";"";"";"";"10/1/2025";"";"";"Solar Power Turnow GmbH & Co. KG";"ABR936492462845";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL996720060700";"EEG939138306190";"E41081010000000000000000000144051";"9/30/2009";"1440";"";"";"";"";""
"SEE955136532522";"DE-S-TURNOW-PRE";"In Betrieb";"Solare Strahlungsenergie";"1440";"1250";"9/30/2009";"";"6/6/2019";"Brandenburg";"03185";"Turnow-Preilack";"Solarpark";"901";"";"";"12071304";"Peitz";"Spree-Neiße";"51,8717";"14,389";"";"";"";"";"";"Volleinspeisung";"Freiflächensolaranlage";"19200";"Süd";"21 - 40 Grad";"";"";"";"";"";"";"";"";"";"";"";"";"";"10/1/2025";"";"";"Solar Power Turnow GmbH & Co. KG";"ABR936492462845";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL996720060700";"EEG994171051094";"E41081010000000000000000000144054";"9/30/2009";"1440";"";"";"";"";""
"SEE910411629021";"DE-S-TURNOW-PRE";"In Betrieb";"Solare Strahlungsenergie";"1418,25";"1250";"10/13/2009";"";"6/6/2019";"Brandenburg";"03185";"Turnow-Preilack";"Solarpark";"901";"";"";"12071304";"Peitz";"Spree-Neiße";"51,8717";"14,389";"";"";"";"";"";"Volleinspeisung";"Freiflächensolaranlage";"18600";"Süd";"21 - 40 Grad";"";"";"";"";"";"";"";"";"";"";"";"";"";"10/1/2025";"";"";"Solar Power Turnow GmbH & Co. KG";"ABR936492462845";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Hochspannung";"SEL996720060700";"EEG906725267233";"E41081010000000000000000000144936";"10/13/2009";"1418,25";"";"";"";"";""
"SEE987307244224";"DE-S-TURNOW-PRE";"In Betrieb";"Solare Strahlungsenergie";"1418,25";"1250";"10/13/2009";"";"6/6/2019";"Brandenburg";"03185";"Turnow-Preilack";"Solarpark";"901";"";"";"12071304";"Peitz";"Spree-Neiße";"51,8717";"14,389";"";"";"";"";"";"Volleinspeisung";"Freiflächensolaranlage";"18600";"Süd";"21 - 40 Grad";"";"";"";"";"";"";"";"";"";"";"";"";"";"10/1/2025";"";"";"Solar Power Turnow GmbH & Co. KG";"ABR936492462845";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL996720060700";"EEG994052185214";"E41081010000000000000000000144937";"10/13/2009";"1418,25";"";"";"";"";""
"SEE908954574045";"DE-S-TURNOW-PRE";"In Betrieb";"Solare Strahlungsenergie";"1440,65";"1250";"10/14/2009";"";"6/6/2019";"Brandenburg";"03185";"Turnow-Preilack";"Solarpark";"901";"";"";"12071304";"Peitz";"Spree-Neiße";"51,8717";"14,389";"";"";"";"";"";"Volleinspeisung";"Freiflächensolaranlage";"15560";"Süd";"21 - 40 Grad";"";"";"";"";"";"";"";"";"";"";"";"";"";"10/1/2025";"";"";"Solar Power Turnow GmbH & Co. KG";"ABR936492462845";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL996720060700";"EEG957766280217";"E41081010000000000000000000144938";"10/14/2009";"1440,65";"";"";"";"";""
"SEE912860535700";"Windpark_Hufen_WEA_1";"In Betrieb";"Wind";"2350";"2350";"7/22/2016";"";"6/7/2019";"Brandenburg";"15306";"Vierlinden";"";"";"Hufen/Vierlinden";"Flur3: 124";"12064482";"Vierlinden";"Märkisch-Oderland";"52,541507";"14,339089";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Windpark Hufen";"Windkraft an Land";"138";"92";"ENERCON GmbH";"Enercon E-92/2,35 MW";"";"";"";"";"2/6/2025";"";"";"Umwelt Aufwind UA GmbH & Co. Seewind KG";"ABR972011079835";"SGE917730471997";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL913461329767";"EEG998581172592";"E4186001EA01000000000084407100001";"7/22/2016";"2350";"";"";"";"";""
"SEE911090945235";"Windpark_Hufen_WEA_2";"In Betrieb";"Wind";"2350";"2350";"7/29/2016";"";"6/7/2019";"Brandenburg";"15306";"Vierlinden";"";"";"Hufen/Vierlinden";"Flur3: 124";"12064482";"Vierlinden";"Märkisch-Oderland";"52,539471";"14,335227";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Windpark Hufen";"Windkraft an Land";"138";"92";"ENERCON GmbH";"Enercon E-92/2,35 MW";"";"";"";"";"3/3/2025";"";"";"Umwelt Aufwind UA GmbH & Co. Seewind KG";"ABR972011079835";"SGE917730471997";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL913461329767";"EEG937184303064";"E4186001EA01000000000084407100002";"7/29/2016";"2350";"";"";"";"";""
"SEE983425109957";"Windpark_Hufen_WEA_3";"In Betrieb";"Wind";"2350";"2350";"8/15/2016";"";"6/7/2019";"Brandenburg";"15306";"Vierlinden";"";"";"Hufen/Vierlinden";"Flur3: 134";"12064482";"Vierlinden";"Märkisch-Oderland";"52,536443";"14,332824";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Windpark Hufen";"Windkraft an Land";"138";"92";"ENERCON GmbH";"Enercon E-92/2,35 MW";"";"";"";"";"2/10/2025";"";"";"Umwelt Aufwind UA GmbH & Co. Seewind KG";"ABR972011079835";"SGE917730471997";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL913461329767";"EEG966611017373";"E4186001EA01000000000084407100003";"8/15/2016";"2350";"";"";"";"";""
"SEE943649864315";"WEA 3 / 80933";"In Betrieb";"Wind";"2000";"2000";"3/30/2009";"";"6/7/2019";"Brandenburg";"16306";"Hohenselchow-Groß Pinnow";"";"";"Groß Pinnow";"Flur 3, Flurstück 532";"12073309";"Hohenselchow-Groß Pinnow";"Uckermark";"53,164156";"14,26363";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Groß Pinnow";"Windkraft an Land";"100";"82";"Senvion Deutschland GmbH";"MM82";"";"";"";"";"12/18/2024";"";"";"Regenerative Energiewandlung R. E. W. Groß Pinnow GmbH & Co. KG";"ABR908127438754";"SGE951702459132";"50Hertz Transmission GmbH (SNB982046657236)";"SNB982046657236";"Geprüft";"Höchstspannung";"SEL946360652124";"EEG956803176254";"E40450010000000000000080933000123";"3/30/2009";"2000";"";"";"";"";""
"SEE924909054905";"WEA 5 / 80934";"In Betrieb";"Wind";"2000";"2000";"3/26/2009";"";"6/7/2019";"Brandenburg";"16306";"Hohenselchow-Groß Pinnow";"";"";"Groß Pinnow";"Flur 3, Flurstück 312";"12073309";"Hohenselchow-Groß Pinnow";"Uckermark";"53,161258";"14,265281";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Groß Pinnow";"Windkraft an Land";"100";"82";"Senvion Deutschland GmbH";"MM82";"";"";"";"";"12/18/2024";"";"";"Regenerative Energiewandlung R. E. W. Groß Pinnow GmbH & Co. KG";"ABR908127438754";"SGE951702459132";"50Hertz Transmission GmbH (SNB982046657236)";"SNB982046657236";"Geprüft";"Höchstspannung";"SEL946360652124";"EEG947153625752";"E40450010000000000000080934000125";"3/26/2009";"2000";"";"";"";"";""
"SEE907325366371";"WEA 12 / 80932";"In Betrieb";"Wind";"2000";"2000";"3/25/2009";"";"6/7/2019";"Brandenburg";"16306";"Hohenselchow-Groß Pinnow";"";"";"Groß Pinnow";"Flur 3, Flurstück 545";"12073309";"Hohenselchow-Groß Pinnow";"Uckermark";"53,163935";"14,27403";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Groß Pinnow";"Windkraft an Land";"100";"82";"Senvion Deutschland GmbH";"MM82";"";"";"";"";"12/18/2024";"";"";"Regenerative Energiewandlung R. E. W. Groß Pinnow GmbH & Co. KG";"ABR908127438754";"SGE951702459132";"50Hertz Transmission GmbH (SNB982046657236)";"SNB982046657236";"Geprüft";"Höchstspannung";"SEL946360652124";"EEG900234674629";"E40450010000000000000080932000128";"3/25/2009";"2000";"";"";"";"";""
"SEE912447931062";"WEA 17 / 82020";"In Betrieb";"Wind";"2000";"2000";"3/30/2009";"";"6/11/2019";"Brandenburg";"16306";"Hohenselchow-Groß Pinnow";"";"";"Groß Pinnow";"Flur 3, Flurstück 517";"12073309";"Hohenselchow-Groß Pinnow";"Uckermark";"53,173886";"14,271016";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Groß Pinnow";"Windkraft an Land";"100";"82";"Senvion Deutschland GmbH";"MM82";"";"";"";"";"12/18/2024";"";"";"Regenerative Energiewandlung R. E. W. Groß Pinnow GmbH & Co. KG";"ABR908127438754";"SGE949484276979";"50Hertz Transmission GmbH (SNB982046657236)";"SNB982046657236";"Geprüft";"Höchstspannung";"SEL946360652124";"EEG902674003663";"E40450010000000000000082020000130";"3/30/2009";"2000";"";"";"";"";""
"SEE967045081114";"WEA 8 / 80931";"In Betrieb";"Wind";"2000";"2000";"3/13/2009";"";"6/11/2019";"Brandenburg";"16306";"Hohenselchow-Groß Pinnow";"";"";"Groß Pinnow";"Flur 3, Flurstück 533";"12073309";"Hohenselchow-Groß Pinnow";"Uckermark";"53,163339";"14,269579";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Groß Pinnow";"Windkraft an Land";"100";"82";"Senvion Deutschland GmbH";"MM82";"";"";"";"";"12/18/2024";"";"";"Regenerative Energiewandlung R. E. W. Groß Pinnow GmbH & Co. KG";"ABR908127438754";"SGE951702459132";"50Hertz Transmission GmbH (SNB982046657236)";"SNB982046657236";"Geprüft";"Höchstspannung";"SEL946360652124";"EEG957647983268";"E40450010000000000000080931000131";"3/13/2009";"2000";"";"";"";"";""
"SEE929900117376";"WEA 9 / 80937";"In Betrieb";"Wind";"2000";"2000";"1/20/2009";"";"6/11/2019";"Brandenburg";"16306";"Hohenselchow-Groß Pinnow";"";"";"Groß Pinnow";"Flur 3, Flurstück 539";"12073309";"Hohenselchow-Groß Pinnow";"Uckermark";"53,163339";"14,269579";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Groß Pinnow";"Windkraft an Land";"100";"82";"Senvion Deutschland GmbH";"MM82";"";"";"";"";"12/18/2024";"";"";"Regenerative Energiewandlung R. E. W. Groß Pinnow GmbH & Co. KG";"ABR908127438754";"SGE951702459132";"50Hertz Transmission GmbH (SNB982046657236)";"SNB982046657236";"Geprüft";"Höchstspannung";"SEL946360652124";"EEG947976363312";"E40450010000000000000080937000132";"1/20/2009";"2000";"";"";"";"";""
"SEE992878762916";"WEA 10 / 80936";"In Betrieb";"Wind";"2000";"2000";"2/3/2009";"";"6/11/2019";"Brandenburg";"16306";"Hohenselchow-Groß Pinnow";"";"";"Groß Pinnow";"Flur 3, Flurstück 541";"12073309";"Hohenselchow-Groß Pinnow";"Uckermark";"53,16938";"14,276101";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Groß Pinnow";"Windkraft an Land";"100";"82";"Senvion Deutschland GmbH";"MM82";"";"";"";"";"12/18/2024";"";"";"Regenerative Energiewandlung R. E. W. Groß Pinnow GmbH & Co. KG";"ABR908127438754";"SGE951702459132";"50Hertz Transmission GmbH (SNB982046657236)";"SNB982046657236";"Geprüft";"Höchstspannung";"SEL946360652124";"EEG945393342705";"E40450010000000000000080936000117";"2/3/2009";"2000";"";"";"";"";""
"SEE911497278967";"Stolzenhain III WEA 05";"In Betrieb";"Wind";"2500";"2500";"9/29/2017";"";"6/11/2019";"Brandenburg";"04916";"Schönewalde";"";"";"Hartmannsdorf";"Flur 7 Flurstück 26";"12062461";"Schönewalde";"Elbe-Elster";"51,850368";"13,135702";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"WP Stolzenhain III";"Windkraft an Land";"120";"120";"GE Wind Energy GmbH";"GE 2.5-120";"";"";"";"";"10/9/2024";"";"";"Windpark Stolzenhain III GmbH & Co. KG";"ABR909017622727";"SGE968523239812";"50Hertz Transmission GmbH (SNB982046657236)";"SNB982046657236";"Geprüft";"Höchstspannung";"SEL970659051596";"EEG975634150653";"E4045001SCHOENEWALDESTOLZ25166498";"9/29/2017";"2530";"";"";"";"";""
"SEE965858519701";"Stolzenhain III WEA 06";"In Betrieb";"Wind";"2500";"2500";"9/29/2017";"";"6/11/2019";"Brandenburg";"04916";"Schönewalde";"";"";"Hartmannsdorf";"Flur 8 Flurstück 58";"12062461";"Schönewalde";"Elbe-Elster";"51,853006";"13,13992";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"WP Stolzenhain";"Windkraft an Land";"120";"120";"GE Wind Energy GmbH";"GE 2.5-120";"";"";"";"";"10/9/2024";"";"";"Windpark Stolzenhain III GmbH & Co. KG";"ABR909017622727";"SGE968523239812";"50Hertz Transmission GmbH (SNB982046657236)";"SNB982046657236";"Geprüft";"Höchstspannung";"SEL970659051596";"EEG909693401746";"E4045001SCHOENEWALDESTOLZ25166497";"9/29/2017";"2500";"";"";"";"";""
"SEE936578040745";"WEA 11 / 80935";"In Betrieb";"Wind";"2000";"2000";"2/5/2009";"";"6/11/2019";"Brandenburg";"16306";"Hohenselchow-Groß Pinnow";"";"";"Groß Pinnow";"Flur 3, Flurstück 543";"12073309";"Hohenselchow-Groß Pinnow";"Uckermark";"53,16677";"14,275829";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Groß Pinnow";"Windkraft an Land";"100";"82";"Senvion Deutschland GmbH";"MM82";"";"";"";"";"12/18/2024";"";"";"Regenerative Energiewandlung R. E. W. Groß Pinnow GmbH & Co. KG";"ABR908127438754";"SGE951702459132";"50Hertz Transmission GmbH (SNB982046657236)";"SNB982046657236";"Geprüft";"Höchstspannung";"SEL946360652124";"EEG936916561475";"E40450010000000000000080935000118";"2/5/2009";"2000";"";"";"";"";""
"SEE986139306476";"WEA 13 / 80940";"In Betrieb";"Wind";"2000";"2000";"3/5/2009";"";"6/11/2019";"Brandenburg";"16306";"Hohenselchow-Groß Pinnow";"";"";"Groß Pinnow";"Flur 3, Flurstück 550";"12073309";"Hohenselchow-Groß Pinnow";"Uckermark";"53,161348";"14,275736";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Groß Pinnow";"Windkraft an Land";"100";"82";"Senvion Deutschland GmbH";"MM82";"";"";"";"";"12/18/2024";"";"";"Regenerative Energiewandlung R. E. W. Groß Pinnow GmbH & Co. KG";"ABR908127438754";"SGE951702459132";"50Hertz Transmission GmbH (SNB982046657236)";"SNB982046657236";"Geprüft";"Höchstspannung";"SEL946360652124";"EEG999065810863";"E40450010000000000000080940000129";"3/5/2009";"2000";"";"";"";"";""
"SEE998768961612";"WEA 14 / 80938";"In Betrieb";"Wind";"2000";"2000";"2/13/2009";"";"6/11/2019";"Brandenburg";"16306";"Hohenselchow-Groß Pinnow";"";"";"Groß Pinnow";"Flur 3, Flurstück 547";"12073309";"Hohenselchow-Groß Pinnow";"Uckermark";"53,164769";"14,279351";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Groß Pinnow";"Windkraft an Land";"100";"82";"Senvion Deutschland GmbH";"MM82";"";"";"";"";"12/18/2024";"";"";"Regenerative Energiewandlung R. E. W. Groß Pinnow GmbH & Co. KG";"ABR908127438754";"SGE951702459132";"50Hertz Transmission GmbH (SNB982046657236)";"SNB982046657236";"Geprüft";"Höchstspannung";"SEL946360652124";"EEG976109845371";"E40450010000000000000080938000119";"2/13/2009";"2000";"";"";"";"";""
"SEE925554983763";"WEA 15 / 80941";"In Betrieb";"Wind";"2000";"2000";"2/26/2009";"";"6/11/2019";"Brandenburg";"16306";"Hohenselchow-Groß Pinnow";"";"";"Groß Pinnow";"Flur 4, Flurstück 54";"12073309";"Hohenselchow-Groß Pinnow";"Uckermark";"53,160085";"14,279896";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Groß Pinnow";"Windkraft an Land";"100";"82";"Senvion Deutschland GmbH";"MM82";"";"";"";"";"12/18/2024";"";"";"Regenerative Energiewandlung R. E. W. Groß Pinnow GmbH & Co. KG";"ABR908127438754";"SGE951702459132";"50Hertz Transmission GmbH (SNB982046657236)";"SNB982046657236";"Geprüft";"Höchstspannung";"SEL946360652124";"EEG957540416177";"E40450010000000000000080941000122";"2/26/2009";"2000";"";"";"";"";""
"SEE910442115548";"Danna WEA 01";"In Betrieb";"Wind";"3000";"3000";"12/20/2017";"";"6/11/2019";"Brandenburg";"14913";"Niedergörsdorf";"";"";"Danna";"Flur 1 Flurstück 85";"12072297";"Niedergörsdorf";"Teltow-Fläming";"52,016748";"12,858506";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"WP Danna";"Windkraft an Land";"149";"115";"ENERCON GmbH";"E115";"";"";"";"";"12/20/2024";"";"";"HSW Windpark Niedergörsdorf GmbH & Co. KG";"ABR960412619057";"SGE971199532415";"50Hertz Transmission GmbH (SNB982046657236)";"SNB982046657236";"Geprüft";"Höchstspannung";"SEL948669649126";"EEG911303501210";"E4045001SCHOENEWALDEDANNA01150814";"12/20/2017";"3000";"";"";"";"";""
"SEE927852969838";"WEA 16 / 80939";"In Betrieb";"Wind";"2000";"2000";"2/18/2009";"";"6/11/2019";"Brandenburg";"16306";"Hohenselchow-Groß Pinnow";"";"";"Groß Pinnow";"Flur 4, Flurstück 31";"12073309";"Hohenselchow-Groß Pinnow";"Uckermark";"53,162284";"14,282552";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Groß Pinnow";"Windkraft an Land";"100";"82";"Senvion Deutschland GmbH";"MM82";"";"";"";"";"12/18/2024";"";"";"Regenerative Energiewandlung R. E. W. Groß Pinnow GmbH & Co. KG";"ABR908127438754";"SGE951702459132";"50Hertz Transmission GmbH (SNB982046657236)";"SNB982046657236";"Geprüft";"Höchstspannung";"SEL946360652124";"EEG903726659630";"E40450010000000000000080939000120";"2/18/2009";"2000";"";"";"";"";""
"SEE932092599462";"Danna WEA 05";"In Betrieb";"Wind";"3000";"3000";"12/22/2017";"";"6/11/2019";"Brandenburg";"14913";"Niedergörsdorf";"";"";"Danna";"Flur 1 Flurstück 117";"12072297";"Niedergörsdorf";"Teltow-Fläming";"52,015761";"12,871533";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"WP Danna";"Windkraft an Land";"149";"115";"ENERCON GmbH";"E115";"";"";"";"";"12/20/2024";"";"";"HSW Windpark Niedergörsdorf GmbH & Co. KG";"ABR960412619057";"SGE948976038903";"50Hertz Transmission GmbH (SNB982046657236)";"SNB982046657236";"Geprüft";"Höchstspannung";"SEL948669649126";"EEG985252168862";"E4045001SCHOENEWALDEDANNA01150818";"12/22/2017";"3000";"";"";"";"";""
"SEE950166780110";"Danna WEA 02";"In Betrieb";"Wind";"3000";"3000";"11/16/2017";"";"6/11/2019";"Brandenburg";"14913";"Niedergörsdorf";"";"";"Danna";"Flur 1 Flurstück 85";"12072297";"Niedergörsdorf";"Teltow-Fläming";"52,010727";"12,858734";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"WP Danna";"Windkraft an Land";"149";"115";"ENERCON GmbH";"E115";"";"";"";"";"12/20/2024";"";"";"HSW Windpark Niedergörsdorf GmbH & Co. KG";"ABR960412619057";"SGE971012900988";"50Hertz Transmission GmbH (SNB982046657236)";"SNB982046657236";"Geprüft";"Höchstspannung";"SEL948669649126";"EEG923019633857";"E4045001SCHOENEWALDEDANNA01150815";"11/16/2017";"3000";"";"";"";"";""
"SEE905871963013";"Danna WEA 03";"In Betrieb";"Wind";"3000";"3000";"12/27/2017";"";"6/11/2019";"Brandenburg";"14913";"Niedergörsdorf";"";"";"Danna";"Flur 1 Flurstück 90";"12072297";"Niedergörsdorf";"Teltow-Fläming";"52,019484";"12,866034";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"WP Danna";"Windkraft an Land";"149";"115";"ENERCON GmbH";"E115";"";"";"";"";"12/20/2024";"";"";"HSW Windpark Niedergörsdorf GmbH & Co. KG";"ABR960412619057";"SGE933489596323";"50Hertz Transmission GmbH (SNB982046657236)";"SNB982046657236";"Geprüft";"Höchstspannung";"SEL948669649126";"EEG990687435007";"E4045001SCHOENEWALDEDANNA01150816";"12/27/2017";"3000";"";"";"";"";""
"SEE944914347168";"Danna WEA 04";"In Betrieb";"Wind";"3000";"3000";"11/29/2017";"";"6/11/2019";"Brandenburg";"14913";"Niedergörsdorf";"";"";"Danna";"Flur 1 Flurstück 114";"12072297";"Niedergörsdorf";"Teltow-Fläming";"52,012791";"12,866419";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"WP Danna";"Windkraft an Land";"149";"115";"ENERCON GmbH";"E115";"";"";"";"";"12/20/2024";"";"";"HSW Windpark Niedergörsdorf GmbH & Co. KG";"ABR960412619057";"SGE913092685935";"50Hertz Transmission GmbH (SNB982046657236)";"SNB982046657236";"Geprüft";"Höchstspannung";"SEL948669649126";"EEG998135965977";"E4045001SCHOENEWALDEDANNA01150817";"11/29/2017";"3000";"";"";"";"";""
"SEE970620712778";"WEA R01";"In Betrieb";"Wind";"3300";"3300";"12/23/2015";"";"6/13/2019";"Brandenburg";"03238";"Massen";"";"";"Lindthal";"Flur 4: Flurstück 224";"12062140";"Finsterwalde";"Elbe-Elster";"51,64516";"13,806579";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"";"Windkraft an Land";"141,5";"117";"Vestas Deutschland GmbH";"V117-3,3 MW";"";"";"";"";"8/14/2025";"";"";"Windpark Rehain GmbH & Co. KG";"ABR920610691996";"SGE906615939714";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL918427356177";"EEG924051729690";"E41081010000000000000000000229699";"12/23/2015";"3300";"";"";"";"";""
